algo,value,runtime_s,nodes_generated,nodes_explored,pruning_ratio,first_opt_node,memory_peak_mb,opt_known,opt_value,opt_time_s,correct,capacity,n,sum_w,timeout,error,class,sample,seed
bb_basic,956,0.00039080000715330243,65,65,0.0,26,0.00173187255859375,True,956,0.001309600003878586,True,500,25,1261,False,,Uncorrelated,11,9805843
bb_enhanced,956,0.0012824000004911795,65,65,0.0,46,0.0059814453125,True,956,0.001309600003878586,True,500,25,1261,False,,Uncorrelated,11,9805843
bb_basic,859,0.0003181000065524131,41,41,0.0,26,0.002044677734375,True,859,0.0013364000042201951,True,500,25,1235,False,,Uncorrelated,12,9871380
bb_enhanced,859,0.0009591999987605959,41,41,0.0,26,0.00482177734375,True,859,0.0013364000042201951,True,500,25,1235,False,,Uncorrelated,12,9871380
bb_basic,877,0.0006606999959331006,116,116,0.0,26,0.00220489501953125,True,877,0.0012867000041296706,True,500,25,1230,False,,Uncorrelated,13,9936917
bb_enhanced,877,0.0024809000024106354,114,114,0.0,81,0.0104522705078125,True,877,0.0012867000041296706,True,500,25,1230,False,,Uncorrelated,13,9936917
bb_basic,854,0.0006198999908519909,112,112,0.0,26,0.00194549560546875,True,854,0.0012862000003224239,True,500,25,1289,False,,Uncorrelated,14,2454
bb_enhanced,854,0.0018522000027587637,97,97,0.0,69,0.00821685791015625,True,854,0.0012862000003224239,True,500,25,1289,False,,Uncorrelated,14,2454
bb_basic,1109,0.0003989999968325719,53,53,0.0,26,0.0024261474609375,True,1109,0.001426500006346032,True,500,25,1110,False,,Uncorrelated,15,67991
bb_enhanced,1109,0.0012061000015819445,53,53,0.0,36,0.0054931640625,True,1109,0.001426500006346032,True,500,25,1110,False,,Uncorrelated,15,67991
bb_basic,686,0.00033289998827967793,56,56,0.0,26,0.00164794921875,True,686,0.001180999999633059,True,500,25,1423,False,,Uncorrelated,16,133528
bb_enhanced,686,0.001087800003006123,56,56,0.0,41,0.00467681884765625,True,686,0.001180999999633059,True,500,25,1423,False,,Uncorrelated,16,133528
bb_basic,991,0.0003930000093532726,52,52,0.0,26,0.00215911865234375,True,991,0.001414199999999255,True,500,25,1061,False,,Uncorrelated,17,199065
bb_enhanced,991,0.0010964999964926392,46,46,0.0,30,0.00514984130859375,True,991,0.001414199999999255,True,500,25,1061,False,,Uncorrelated,17,199065
bb_basic,740,0.0011144000018248335,206,206,0.0,26,0.00209808349609375,True,740,0.001342599993222393,True,500,25,1219,False,,Uncorrelated,18,264602
bb_enhanced,740,0.0012630999990506098,53,53,0.0,34,0.0058441162109375,True,740,0.001342599993222393,True,500,25,1219,False,,Uncorrelated,18,264602
bb_basic,894,0.0007572000031359494,107,107,0.0,26,0.0022735595703125,True,894,0.0013295999960973859,True,500,25,1127,False,,Uncorrelated,19,330139
bb_enhanced,894,0.002789999998640269,107,107,0.0,65,0.0128021240234375,True,894,0.0013295999960973859,True,500,25,1127,False,,Uncorrelated,19,330139
bb_basic,956,0.0005445999995572492,82,82,0.0,31,0.0025177001953125,True,956,0.0016999000072246417,True,500,30,1327,False,,Uncorrelated,0,7214941
bb_enhanced,956,0.00157200000830926,70,70,0.0,45,0.007843017578125,True,956,0.0016999000072246417,True,500,30,1327,False,,Uncorrelated,0,7214941
bb_basic,876,0.0005025999998906627,55,55,0.0,31,0.00194549560546875,True,876,0.0015248999989125878,True,500,30,1648,False,,Uncorrelated,1,7280478
bb_enhanced,876,0.001142200009780936,56,56,0.0,40,0.00519561767578125,True,876,0.0015248999989125878,True,500,30,1648,False,,Uncorrelated,1,7280478
bb_basic,900,0.000453799992101267,66,66,0.0,31,0.002349853515625,True,900,0.0015860999992582947,True,500,30,1404,False,,Uncorrelated,2,7346015
bb_enhanced,900,0.0014094000071054325,66,66,0.0,44,0.00695037841796875,True,900,0.0015860999992582947,True,500,30,1404,False,,Uncorrelated,2,7346015
bb_basic,883,0.0005115999956615269,75,75,0.0,31,0.00266265869140625,True,883,0.0016611999890301377,True,500,30,1237,False,,Uncorrelated,3,7411552
bb_enhanced,883,0.001858799994806759,75,75,0.0,49,0.00807952880859375,True,883,0.0016611999890301377,True,500,30,1237,False,,Uncorrelated,3,7411552
bb_basic,1031,0.00042839998786803335,56,56,0.0,31,0.00251007080078125,True,1031,0.0016407000075560063,True,500,30,1451,False,,Uncorrelated,4,7477089
bb_enhanced,1031,0.001293000008445233,56,56,0.0,36,0.00640106201171875,True,1031,0.0016407000075560063,True,500,30,1451,False,,Uncorrelated,4,7477089
bb_basic,969,0.0005781000072602183,94,94,0.0,31,0.00244903564453125,True,969,0.0015416000096593052,True,500,30,1351,False,,Uncorrelated,5,7542626
bb_enhanced,969,0.0016696000093361363,75,75,0.0,50,0.007537841796875,True,969,0.0015416000096593052,True,500,30,1351,False,,Uncorrelated,5,7542626
bb_basic,994,0.0003899000003002584,53,53,0.0,31,0.00251007080078125,True,994,0.0015574999997625127,True,500,30,1294,False,,Uncorrelated,6,7608163
bb_enhanced,994,0.0011945000005653128,53,53,0.0,35,0.00585174560546875,True,994,0.0015574999997625127,True,500,30,1294,False,,Uncorrelated,6,7608163
bb_basic,911,0.0011870000016642734,216,216,0.0,31,0.0022735595703125,True,911,0.001460999992559664,True,500,30,1526,False,,Uncorrelated,7,7673700
bb_enhanced,911,0.00385590000951197,154,154,0.0,94,0.01859283447265625,True,911,0.001460999992559664,True,500,30,1526,False,,Uncorrelated,7,7673700
bb_basic,918,0.0006828000041423365,130,130,0.0,31,0.0022125244140625,True,918,0.0014731999981449917,True,500,30,1702,False,,Uncorrelated,8,7739237
bb_enhanced,918,0.0018223999941255897,97,97,0.0,73,0.00745391845703125,True,918,0.0014731999981449917,True,500,30,1702,False,,Uncorrelated,8,7739237
bb_basic,1012,0.00048210000386461616,78,78,0.0,31,0.00191497802734375,True,1012,0.0014325999945867807,True,500,30,1760,False,,Uncorrelated,9,7804774
bb_enhanced,1012,0.001565899990964681,78,78,0.0,55,0.0070953369140625,True,1012,0.0014325999945867807,True,500,30,1760,False,,Uncorrelated,9,7804774
bb_basic,1035,0.0005597000126726925,88,88,0.0,31,0.0026397705078125,True,1035,0.0015490999940084293,True,500,30,1422,False,,Uncorrelated,10,8757262
bb_enhanced,1035,0.0014282999909482896,64,64,0.0,41,0.00708770751953125,True,1035,0.0015490999940084293,True,500,30,1422,False,,Uncorrelated,10,8757262
bb_basic,1043,0.0006947000074433163,122,122,0.0,31,0.0025787353515625,True,1043,0.001553299996885471,True,500,30,1427,False,,Uncorrelated,11,8822799
bb_enhanced,1043,0.0022330000065267086,107,107,0.0,78,0.0090179443359375,True,1043,0.001553299996885471,True,500,30,1427,False,,Uncorrelated,11,8822799
bb_basic,1031,0.0006862000009277835,103,103,0.0,31,0.00247955322265625,True,1031,0.0015587000088999048,True,500,30,1504,False,,Uncorrelated,12,8888336
bb_enhanced,1031,0.002249400000437163,100,100,0.0,67,0.01010894775390625,True,1031,0.0015587000088999048,True,500,30,1504,False,,Uncorrelated,12,8888336
bb_basic,953,0.0003456000122241676,49,49,0.0,31,0.00193023681640625,True,953,0.0014826999977231026,True,500,30,1645,False,,Uncorrelated,13,8953873
bb_enhanced,953,0.0010437999881105497,49,49,0.0,34,0.00478363037109375,True,953,0.0014826999977231026,True,500,30,1645,False,,Uncorrelated,13,8953873
bb_basic,904,0.0005129999917699024,94,94,0.0,31,0.001708984375,True,904,0.0014196999982232228,True,500,30,1752,False,,Uncorrelated,14,9019410
